title,label,summary
Can Language Models Be Specific? How?,3,A good speaker not only needs to be correct but also has the ability to be specific when desired and so are language models. In this paper we propose to measure how specific the language of pre-trained language models (PLMs) is. To achieve this we introduce a novel approach to build a benchmark for specificity testing by forming masked token prediction tasks with prompts. For instance given ``J. K. Rowling was born in [MASK].'' we want to test whether a more specific answer will be better filled in by PLMs e.g. Yate instead of England. From our evaluations we show
Blockchain-Based Decentralized Knowledge Marketplace Using Active Inference,2,A knowledge market can be described as a type of market where there is a consistent supply of data to satisfy the demand for information and is responsible for the mapping of potential problem solvers with the entities which need these solutions. It is possible to define them as value-exchange systems in which the dynamic features of the creation and exchange of intellectual assets serve as the fundamental drivers of the frequency nature and outcomes of interactions among various stakeholders. Furthermore the provision of financial backing for research is an essential component in the process of developing a knowledge market
Data Leaves: Scenario-oriented Metadata for Data Federative Innovation,1,A method for representing the digest information of each dataset is proposed oriented to the aid of innovative thoughts and the communication of data users who attempt to create valuable products services and business models using or combining datasets. Compared with methods for connecting datasets via shared attributes (i.e. variables) this method connects datasets via events situations or actions in a scenario that is supposed to be active in the real world. This method reflects the consideration of the fitness of each metadata to the feature concept which is an abstract of the information or knowledge expected to be acquired
iCTGAN--An Attack Mitigation Technique for Random-vector Attack on Accelerometer-based Gait Authentication Systems,2,A recent study showed that commonly (vanilla) studied implementations of accelerometer-based gait authentication systems ($v$ABGait) are susceptible to random-vector attack. The same study proposed a beta noise-assisted implementation ($\beta$ABGait) to mitigate the attack. In this paper we assess the effectiveness of the random-vector attack on both $v$ABGait and $\beta$ABGait using three accelerometer-based gait datasets. In addition we propose $i$ABGait an alternative implementation of ABGait which uses a Conditional Tabular Generative Adversarial Network. Then we evaluate $i$ABGait's resilience against the traditional zero-effort and random-vector attacks. The results show that $i$ABGait mitigates the impact of the random-vector attack to a reasonable extent
Causal Inference for Chatting Handoff,0,Aiming to ensure chatbot quality by predicting chatbot failure and enabling human-agent collaboration Machine-Human Chatting Handoff (MHCH) has attracted lots of attention from both industry and academia in recent years. However most existing methods mainly focus on the dialogue context or assist with global satisfaction prediction based on multi-task learning which ignore the grounded relationships among the causal variables like the user state and labor cost. These variables are significantly associated with handoff decisions resulting in prediction bias and cost increasement. Therefore we propose Causal-Enhance Module (CEM) by establishing the causal graph of MHCH based on these two variables which
Aggregating Crowdsourced and Automatic Judgments to Scale Up a Corpus of Anaphoric Reference for Fiction and Wikipedia Texts,3,Although several datasets annotated for anaphoric reference/coreference exist even the largest such datasets have limitations in terms of size range of domains coverage of anaphoric phenomena and size of documents included. Yet the approaches proposed to scale up anaphoric annotation haven't so far resulted in datasets overcoming these limitations. In this paper we introduce a new release of a corpus for anaphoric reference labelled via a game-with-a-purpose. This new release is comparable in size to the largest existing corpora for anaphoric reference due in part to substantial activity by the players in part thanks to the use of a new
Artificial virtuous agents in a multiagent tragedy of the commons,0,Although virtue ethics has repeatedly been proposed as a suitable framework for the development of artificial moral agents (AMAs) it has been proven difficult to approach from a computational perspective. In this work we present the first technical implementation of artificial virtuous agents (AVAs) in moral simulations. First we review previous conceptual and technical work in artificial virtue ethics and describe a functionalistic path to AVAs based on dispositional virtues bottom-up learning and top-down eudaimonic reward. We then provide the details of a technical implementation in a moral simulation based on a tragedy of the commons scenario. The experimental results
Uncertain Case Identifiers in Process Mining: A User Study of the Event-Case Correlation Problem on Click Data,1,Among the many sources of event data available today a prominent one is user interaction data. User activity may be recorded during the use of an application or website resulting in a type of user interaction data often called click data. An obstacle to the analysis of click data using process mining is the lack of a case identifier in the data. In this paper we show a case and user study for event-case correlation on click data in the context of user interaction events from a mobility sharing company. To reconstruct the case notion of the process we apply
Does Wikidata Support Analogical Reasoning?,0,Analogical reasoning methods have been built over various resources including commonsense knowledge bases lexical resources language models or their combination. While the wide coverage of knowledge about entities and events make Wikidata a promising resource for analogical reasoning across situations and domains Wikidata has not been employed for this task yet. In this paper we investigate whether the knowledge in Wikidata supports analogical reasoning. Specifically we study whether relational knowledge is modeled consistently in Wikidata observing that relevant relational information is typically missing or modeled in an inconsistent way. Our further experiments show that Wikidata can be used to create
Treewidth-aware Reductions of Normal ASP to SAT -- Is Normal ASP Harder than SAT after All?,0,Answer Set Programming (ASP) is a paradigm for modeling and solving problems for knowledge representation and reasoning. There are plenty of results dedicated to studying the hardness of (fragments of) ASP. So far these studies resulted in characterizations in terms of computational complexity as well as in fine-grained insights presented in form of dichotomy-style results lower bounds when translating to other formalisms like propositional satisfiability (SAT) and even detailed parameterized complexity landscapes. A generic parameter in parameterized complexity originating from graph theory is the so-called treewidth which in a sense captures structural density of a program. Recently there was an
